doc_title,juan_title,zhengwen_id,sbck_id,jdsw_id
周易,渙,KR1a0001_059,KR1a0006_059,KR1g0003_002_059
周易,節,KR1a0001_060,KR1a0006_060,KR1g0003_002_060
周易,中孚,KR1a0001_061,KR1a0006_061,KR1g0003_002_061
周易,小過,KR1a0001_062,KR1a0006_062,KR1g0003_002_062
周易,既濟,KR1a0001_063,KR1a0006_063,KR1g0003_002_063
周易,未濟,KR1a0001_064,KR1a0006_064,KR1g0003_002_064
周易,繫辭上,KR1a0001_065,KR1a0006_065,KR1g0003_002_065
周易,繫辭下,KR1a0001_066,KR1a0006_066,KR1g0003_002_066
周易,說卦,KR1a0001_067,KR1a0006_067,KR1g0003_002_067
周易,序卦,KR1a0001_068,KR1a0006_068,KR1g0003_002_068
周易,雜卦,KR1a0001_069,KR1a0006_069,KR1g0003_002_069
尚書,堯典,KR1b0001_001,KR1b0002_001,KR1g0003_003_001
尚書,舜典,KR1b0001_002,KR1b0002_002,KR1g0003_003_002
尚書,大禹謨,KR1b0001_003,KR1b0002_003,KR1g0003_003_003
尚書,皋陶謨,KR1b0001_004,KR1b0002_004,KR1g0003_003_004
尚書,益稷,KR1b0001_005,KR1b0002_005,KR1g0003_003_005
尚書,禹貢,KR1b0001_006,KR1b0002_006,KR1g0003_003_006
尚書,甘誓,KR1b0001_007,KR1b0002_007,KR1g0003_003_007
尚書,五子之歌,KR1b0001_008,KR1b0002_008,KR1g0003_003_008
尚書,胤征,KR1b0001_009,KR1b0002_009,KR1g0003_003_009
尚書,湯誓,KR1b0001_010,KR1b0002_010,KR1g0003_003_010
尚書,仲虺之誥,KR1b0001_011,KR1b0002_011,KR1g0003_003_011
尚書,湯誥,KR1b0001_012,KR1b0002_012,KR1g0003_003_012
尚書,伊訓,KR1b0001_013,KR1b0002_013,KR1g0003_003_013
尚書,太甲上,KR1b0001_014,KR1b0002_014,KR1g0003_003_014
尚書,太甲中,KR1b0001_015,KR1b0002_015,KR1g0003_003_015
尚書,太甲下,KR1b0001_016,KR1b0002_016,KR1g0003_003_016
尚書,咸有一德,KR1b0001_017,KR1b0002_017,KR1g0003_003_017
尚書,盤庚上,KR1b0001_018,KR1b0002_018,KR1g0003_003_018
尚書,盤庚中,KR1b0001_019,KR1b0002_019,KR1g0003_003_019
尚書,盤庚下,KR1b0001_020,KR1b0002_020,KR1g0003_003_020
尚書,說命上,KR1b0001_021,KR1b0002_021,KR1g0003_003_021
尚書,說命中,KR1b0001_022,KR1b0002_022,KR1g0003_003_022
尚書,說命下,KR1b0001_023,KR1b0002_023,KR1g0003_003_023
尚書,高宗肜日,KR1b0001_024,KR1b0002_024,KR1g0003_003_024
尚書,西伯戡黎,KR1b0001_025,KR1b0002_025,KR1g0003_003_025
尚書,微子,KR1b0001_026,KR1b0002_026,KR1g0003_003_026
尚書,泰誓上,KR1b0001_027,KR1b0002_027,KR1g0003_004_001
尚書,泰誓中,KR1b0001_028,KR1b0002_028,KR1g0003_004_002
尚書,泰誓下,KR1b0001_029,KR1b0002_029,KR1g0003_004_003
尚書,牧誓,KR1b0001_030,KR1b0002_030,KR1g0003_004_004
尚書,武成,KR1b0001_031,KR1b0002_031,KR1g0003_004_005
尚書,洪範,KR1b0001_032,KR1b0002_032,KR1g0003_004_006
尚書,旅獒,KR1b0001_033,KR1b0002_033,KR1g0003_004_007
尚書,金縢,KR1b0001_034,KR1b0002_034,KR1g0003_004_008
尚書,大誥,KR1b0001_035,KR1b0002_035,KR1g0003_004_009
尚書,微子之命,KR1b0001_036,KR1b0002_036,KR1g0003_004_010
尚書,康誥,KR1b0001_037,KR1b0002_037,KR1g0003_004_011
尚書,酒誥,KR1b0001_038,KR1b0002_038,KR1g0003_004_012
